C,W,T,Registers,L1(Dcache),L2,Mapping,ALUs,occupancy_width,occupancy_depth,total_occupancy,greedy_thruput_desired_depth
4,8,2,16,16,2,CM,32,1.0,1.0,1.0,79.41550000000001
4,4,8,32,16,2,CM,128,1.0,1.0,1.0,79.41550000000001
4,4,4,16,16,2,CM,64,1.0,1.0,1.0,79.41550000000001
4,4,2,8,16,2,CM,32,1.0,1.0,1.0,79.41550000000001
4,2,16,32,16,2,CM,128,1.0,1.0,1.0,39.707750000000004
4,2,8,16,16,2,CM,64,1.0,1.0,1.0,39.707750000000004
4,2,4,8,16,2,CM,32,1.0,1.0,1.0,39.707750000000004
2,16,2,16,16,2,CM,16,1.0,1.0,1.0,79.41550000000001
2,8,4,16,16,2,CM,32,1.0,1.0,1.0,79.41550000000001
2,8,2,8,16,2,CM,16,1.0,1.0,1.0,79.41550000000001
2,2,8,8,16,2,CM,32,1.0,1.0,1.0,39.707750000000004
2,2,16,16,16,2,CM,64,1.0,1.0,1.0,39.707750000000004
2,4,8,16,16,2,CM,64,1.0,1.0,1.0,79.41550000000001
4,8,4,32,16,2,CM,64,1.0,1.0,1.0,79.41550000000001
4,16,2,32,16,2,CM,32,1.0,1.0,1.0,79.41550000000001
2,4,4,8,16,2,CM,32,1.0,1.0,1.0,79.41550000000001
